rank_position,content_id,baseline_score,reason_code,action_label,content_age_days,impressions_prev_30d,impressions_last_30d
12749,content_82e20c84a0ee,0.0,FRESH_OR_GROWING,NO_ACTION,121,0,0
12750,content_31b69aaaba9a,0.0,FRESH_OR_GROWING,NO_ACTION,463,21,27
12751,content_7c8c9b6e29d6,0.0,FRESH_OR_GROWING,NO_ACTION,112,9,1
12752,content_d306cc9ec20f,0.0,FRESH_OR_GROWING,NO_ACTION,362,946,1305
12753,content_2a212876da21,0.0,FRESH_OR_GROWING,NO_ACTION,460,3,8
12754,content_ee8621197232,0.0,FRESH_OR_GROWING,NO_ACTION,438,21,38
12755,content_9dff6e7cbb0b,0.0,FRESH_OR_GROWING,NO_ACTION,148,7164,4866
12756,content_1bc28a2fb472,0.0,FRESH_OR_GROWING,NO_ACTION,182,5,5
12757,content_809b527bca22,0.0,FRESH_OR_GROWING,NO_ACTION,105,10,18
12758,content_650f06f1882a,0.0,FRESH_OR_GROWING,NO_ACTION,308,0,4
12759,content_ce23d3456b6d,0.0,FRESH_OR_GROWING,NO_ACTION,97,1751,1163
12760,content_cf5a10fe2674,0.0,FRESH_OR_GROWING,NO_ACTION,180,26,8
12761,content_1da1910ea187,0.0,FRESH_OR_GROWING,NO_ACTION,98,6411,2317
12762,content_6320064497fd,0.0,FRESH_OR_GROWING,NO_ACTION,537,367,482
12763,content_0efc49400f2c,0.0,FRESH_OR_GROWING,NO_ACTION,124,2790,408
12764,content_4ee813262a51,0.0,FRESH_OR_GROWING,NO_ACTION,445,2734,4217
12765,content_716a3ef91adc,0.0,FRESH_OR_GROWING,NO_ACTION,438,67,93
12766,content_d34b3445b17e,0.0,FRESH_OR_GROWING,NO_ACTION,310,0,3
12767,content_5946d8e30a0c,0.0,FRESH_OR_GROWING,NO_ACTION,211,347,408
12768,content_ad738756610d,0.0,FRESH_OR_GROWING,NO_ACTION,97,1318,477
12769,content_d834894c4392,0.0,FRESH_OR_GROWING,NO_ACTION,236,649,1015
12770,content_42fddd60e83f,0.0,FRESH_OR_GROWING,NO_ACTION,293,0,2
12771,content_6b6043235074,0.0,FRESH_OR_GROWING,NO_ACTION,124,281,224
12772,content_047a8d50dcb8,0.0,FRESH_OR_GROWING,NO_ACTION,144,22,10
12773,content_84eb19a79c66,0.0,FRESH_OR_GROWING,NO_ACTION,141,108,68
12774,content_faf57bbf523f,0.0,FRESH_OR_GROWING,NO_ACTION,299,0,1
12775,content_4e6a1e87ecd6,0.0,FRESH_OR_GROWING,NO_ACTION,124,19,19
12776,content_2701288427cc,0.0,FRESH_OR_GROWING,NO_ACTION,98,1255,523
12777,content_c2710bb91ff3,0.0,FRESH_OR_GROWING,NO_ACTION,280,3613,4443
12778,content_8042e8fafe51,0.0,FRESH_OR_GROWING,NO_ACTION,117,0,3
12779,content_af3e1659ba29,0.0,FRESH_OR_GROWING,NO_ACTION,147,975,207
